Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2018,1109,Oxy Vinyls Canada Co.,Niagara PVC Plant,Thorold,325210,46583,0,19.5353,270.5392,0,0,0,0,46874,46874,46874,Stantec Consulting Ltd.
2010,1056,Goldcorp Canada Ltd.,Musselwhite Mine,Thunder Bay,212220,16892,0,0,0,0,0,0,,16892,16892,,
2010,1108,Ontario Power Generation,Thunder Bay Generating Station,Thunder Bay,221112,264779,0,81,1469,0,0,0,,266330,266330,,
2010,1120,AbiBow Canada Inc.,Thunder Bay,Thunder Bay,322112,42360,956559,6468,14880,0,0,0,,1020267,63708,,
2011,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221112,139480,0,42.9576,798.6003,0,0,0,,140322,140322,140322,Ernst & Young LLP
2011,1120,AbiBow Canada Inc.,Thunder Bay Operations,Thunder Bay,322112,71902,921897,6226.29,14480.1,0,0,0,,1014506,92609,92609,Stantec Consulting Ltd.
2012,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,71386,0,21.903,421.91,0,0,0,,71830,71830,71830,Ernst & Young LLP
2012,1120,Resolute FP Canada Inc.,Thunder Bay Operations,Thunder Bay,322112,73862,914821,6178.83,14328.2,0,0,0,,1009191,94370,94370,Stantec Consulting Ltd.
2013,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Thunder Bay,212220,31509,0,23.31,1128.4,0,0,0,,32661,32661,32661,Ernst & Young LLP
2013,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,33851,2304,11.555,216.6745,0,0,0,,36384,34080,34080,Ernst & Young LLP
2013,1120,Resolute FP Canada Inc.,Thunder Bay Operations,Thunder Bay,322112,179691,1177876,7991.34,18565.9,0,0,0,,1384125,206249,206249,Enviro-Access Inc.
2014,1056,GOLDCORP CANADA LTD,Musselwhite Mine,Thunder Bay,212220,23513,0,14.49,750.2,0,0,0,,24278,24278,24278,Ernst & Young LLP
2014,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,89658,3487,23.1,471.82,0,0,0,,93640,90153,90153,Ernst & Young LLP
2014,1120,Produits forestiers Résolu,Thunder Bay Operations,Thunder Bay,322112,196236,1204801,8181.18,18916.2,0,0,0,,1428135,223334,223334,Enviro-Access Inc.
2015,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,662.24,4827.76,376.74,775,0,0,0,0,6642,1814,1814,Ernst & Young LLP
2015,1120,Produits forestiers Résolu,Thunder Bay Operations,Thunder Bay,322112,184827,1184965,8044.47,18339.6,0,0,0,0,1396177,211212,211212,Enviro-Access Inc.
2016,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,1426.71,21375.12,150.6813,297.8852,0,0,0,0,23251,1876,1876,Ernst & Young LLP
2016,1120,Resolute FP Canada Inc.,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,322112,177930,1346123,9123.66,20717.3,0,0,0,0,1553894,207771,207771,Enviro-Access Inc.
2016,1348,Thunder Bay Regional Health Sciences Centre,980 Oliver Road,Thunder Bay,622111,12198.4831,0,5.0471,70.4168,0,0,0,0,12274,12274,12274,GHD Limited (formerly CRA)
2016,1354,Canada Malting Co Ltd.,"Canada Malting, Thunder Bay",Thunder Bay,311214,18277.49,0,7.623,100.13,0,0,0,0,18386,18386,18386,
2017,1108,Ontario Power Generation Inc.,Thunder Bay Generating Station,Thunder Bay,221119,804.83,5013,60.795,121.83,0,0,0,0,6001,988,988,GHD Limited
2017,1120,Produits forestiers Résolu,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,322112,178039,1242945,8411.7684,19422.089,0,0,0,0,1448818,205873,205873,Enviro-access
2017,1348,Thunder Bay Regional Health Sciences Centre,980 Oliver Road,Thunder Bay,622111,12348.2492,0,5.109,71.2814,0,0,0,0,12425,12425,12425,GHD
2017,1354,Canada Malting Co Ltd.,"Canada Malting, Thunder Bay",Thunder Bay,311214,18267.226,0,7.623,100.13,0,0,0,0,18375,18375,18375,
2018,1120,Produits forestiers Résolu,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,322112,166518,1107542,7495.089,17485.488,0,0,0,0,1299041,191499,191499,GHD
2018,1348,Thunder Bay Regional Health Sciences Centre,980 Oliver Road,Thunder Bay,622111,12773.7783,0,5.2857,73.749,0,0,0,0,12853,12853,12853,
2018,1354,Canada Malting Co Ltd.,"Canada Malting, Thunder Bay",Thunder Bay,311214,19059.049,0,7.938,104.78,0,0,0,0,19172,19172,19172,
2018,1410,North American Palladium Limited,Lac Des Iles Mine Ltd.,Thunder Bay,212299,14677,0,5.292,338.83,0,0,0,0,15022,15022,15022,
2010,1157,Xstrata Canada,Kidd Metallurgical Site,Timmins,212233,75323,0,30,406,0,0,0,,75759,75759,,
2015,1212,Imerys Talc Canada Inc.,Timmins Micronizing Plant,Timmins,212398,12543,0,5.187,68.2,0,0,0,0,12617,12617,12617,GHD Limited (formerly CRA)
2016,1212,Imerys Talc Canada Inc.,Timmins Micronizing Plant,Timmins,212398,13813,0,5.712,75.33,0,0,0,0,13895,13895,13895,GHD Limited (formerly CRA)
2017,1212,Imerys Talc Canada Inc.,Timmins Micronizing Plant,Timmins,212398,13439,0,5.565,73.16,0,0,0,0,13518,13518,13518,GHD Limited
2018,1212,Imerys Talc Canada Inc.,Timmins Micronizing Plant,Timmins,212398,13082,0,5.418,71.3,0,0,0,0,13159,13159,13159,
2011,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,28126.19,0,11.634,153.14,0,0,0,,28291,28291,28291,Stantec Consulting Ltd.
2012,1157,Xstrata Canada Corporation - Duplicate,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,25380.33,0,10.5,138.26,0,0,0,0,25530,25530,25530,Stantec Consulting Ltd.
2013,1157,Glencore Canada Corporation DUPLICATE???,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,29253.11,0,12.096,159.34,0,0,0,0,29425,29425,29425,Stantec Consulting Ltd.
2014,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,26904.94,0,11.13,146.32,0,0,0,0,27063,27063,27063,Stantec Consulting Ltd.
2015,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,23263.99,0,9.618,126.79,0,0,0,0,23401,23401,23401,Stantec Consulting Ltd.
2016,1157,Glencore Canada Corporation DUPLICATE???,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,23524.64,0,9.744,128.34,0,0,0,0,23663,23663,23663,GHD Limited (formerly CRA)
2017,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,23865.89,0,9.8952,130.231,0,0,0,0,24007,24007,24007,
2018,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,24106.724,0,9.9754,131.1548,0,0,0,0,24248,24248,24248,
2010,1015,Bruce Power Inc,Bruce Power Inc,Tiverton,221113,67661,0,57,746,0,0,0,,68464,68464,,
2011,1015,Bruce Power LP,Bruce Power,Tiverton,221113,46014.53467,0,37.9942,436.3231,0,0,0,,46489,46489,46489,Conestoga-Rovers & Associates Limited (CRA)
2012,1015,Bruce Power LP,Bruce Power,Tiverton,221113,31977.804,0,26.502,305.97,0,0,0,,32311,32311,32311,Conestoga-Rovers & Associates Limited (CRA)
2013,1015,Bruce Power LP,Bruce Power,Tiverton,221113,15950,0,13.86,251.1,0,0,0,,16215,16215,16215,Conestoga-Rovers & Associates Limited (CRA)
2013,1163,GreenField Specialty Alcohols Inc.,Tiverton Plant,Tiverton,325190,25151.1213,0,10.0802,135.2174,0,0,0,,25297,25297,25297,KPMG Performance Registrar Inc.
2014,1015,Bruce Power LP,Bruce Power,Tiverton,221113,3512,0,3.78,164.3,0,0,0,,3681,3681,3681,Conestoga-Rovers & Associates Limited (CRA)
2014,1163,GreenField Specialty Alcohols Inc.,Tiverton Plant,Tiverton,325190,33731.9,0,13.3308,180.327,0,0,0,,33926,33926,33926,KPMG Performance Registrar Inc.
2015,1015,Bruce Power LP,Bruce Power,Tiverton,221113,4792.61,0,5.04,223.2,0,0,0,0,5021,5021,5021,GHD Limited (formerly CRA)
2015,1163,GreenField Specialty Alcohols Inc.,Tiverton Plant,Tiverton,325190,32213.83,0,13.0578,173.972,0,0,0,0,32401,32401,32401,KPMG Performance Registrar Inc.
2016,1163,GreenField Specialty Alcohols Inc.,Tiverton,Tiverton,325190,29537.4,0,12.1025,160.177,0,0,0,0,29710,29710,29710,KPMG Performance Registrar Inc.
2017,1163,Greenfield Global Inc.,Tiverton,Tiverton,325190,25852.895,0,10.64,140.4421,0,0,0,0,26004,26004,26004,GHD Limited
2018,1163,Greenfield Global Inc.,Tiverton,Tiverton,325190,25569.55,0,10.8825,168.0913,0,0,0,0,25749,25749,25749,GHD Limited
2010,1039,Enwave District Energy,Pearl Street Steam Plant,Toronto,221330,46827,0,256,378,0,0,0,,47463,47463,,
2010,1040,Enwave District Energy,Walton Street Steam Plant,Toronto,221330,138680,0,759,1123,0,0,0,,140562,140562,,
2010,1083,Irving Tissue,Weston Plant,Toronto,322121,51057,0,21,278,0,0,0,,51357,51357,,
2010,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,457270,0,2496,3701,0,0,0,,463467,463467,,
2010,1118,Redpath Sugar Ltd (former Tate & Lyle Canada),Toronto Refinery,Toronto,311310,69861,0,29,418,0,0,0,,70310,66110,,
2010,1123,Sanofi Pasteur Limited,Connaught Campus,Toronto,325410,49,0,269,397,0,0,0,,716,716,,
2010,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,32781,0,14,188,0,0,0,,32983,32983,,
2010,1152,University of Toronto,St. George Campus,Toronto,611310,84988,0,466,687,0,0,0,,86141,86141,,
2010,1159,York University,Keele Campus,Toronto,611310,50514,0,206,369,0,650,0,,51739,51739,,
2011,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,63718.452,0,25.536,347.51,0,0,0,,64092,64092,64092,SAI Global
2011,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,130357.184,0,52.563,702.46,0,0,0,,131113,131113,131113,SAI Global
2011,1083,Irving Tissue,Irving Tissue,Toronto,322121,52184.63,0,21.903,304.42,0,0,0,,52511,52511,52511,SAI Global
2011,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,453839,0,2475.48,3664.2,0,0,0,,459979,459979,459979,SAI Global
2011,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,65521.48,0,27.636,391.3471,0,0,0,,65941,61484,61484,SAI Global
2011,1123,Sanofi Pasteur Ltd.,Connaught Campus,Toronto,325410,48605.88,0,266.217,392.15,0,0,0,,49265,49265,49265,PricewaterhouseCoopers LLP
2011,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,35950.02,0,15.3846,196.974,0,0,0,,36163,36163,36163,SAI Global
2011,1152,University of Toronto,St George Campus,Toronto,611310,84059.2989,0,425.838,628.68,0,0,0,,85114,85114,85114,Conestoga-Rovers & Associates Limited (CRA)
2011,1159,York University,York University - Keele Campus,Toronto,611310,55383,0,229.74,427.8,0,0,0,,56041,56041,56041,Conestoga-Rovers & Associates Limited (CRA)
2012,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,90297.057,0,37.191,490.42,0,0,0,,90825,90825,90825,SAI Global
2012,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,88555.45,0,36.624,482.05,0,0,0,,89075,89075,89075,SAI Global
2012,1083,Irving Tissue,Irving Tissue,Toronto,322121,50426.0692,0,20.8635,274.505,0,0,0,,50722,50722,50722,SAI Global
2012,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,434342,0,2368.422,3506.1,0,0,0,,440217,440217,440217,SAI Global
2012,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,65128.39,0,26.9632,355.8118,0,0,0,,65512,65512,65512,SAI Global
2012,1123,Sanofi Pasteur Ltd.,Connaught Campus,Toronto,325410,45577.693,0,249.312,371.69,0,0,0,,46199,46199,46199,PricewaterhouseCoopers LLP
2012,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,34742.2871,0,14.5068,189.441,0,0,0,,34947,34947,34947,SAI Global
2012,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,78747,0,671.832,991.752,0,0,0,,80411,80411,80411,Conestoga-Rovers & Associates Limited (CRA)
2012,1159,York University,York University - Keele Campus,Toronto,611310,49675,0,192.6078,367.35,0,0,0,,50235,50235,50235,Conestoga-Rovers & Associates Limited (CRA)
2013,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,110065.541,0,45.213,597.37,0,0,0,,110709,110709,110709,Internat Energy Solutions Canada Inc.
2013,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,85669.471,0,35.028,464.07,0,0,0,,86169,86169,86169,Internat Energy Solutions Canada Inc.
2013,1083,Irving Tissue,Irving Tissue,Toronto,322121,45081.9482,0,18.7509,256.339,0,0,0,,45358,45358,45358,SAI Global
2013,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,336741,0,1832.25,2718.7,0,0,0,,341292,341292,341292,SAI Global
2013,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,69396.09,0,29.0557,399.9651,0,0,0,,69826,69826,69826,SAI Global
2013,1123,Sanofi Pasteur Ltd.,Connaught Campus,Toronto,325410,45830.464,0,250.698,373.86,0,0,0,,46456,46456,46456,PricewaterhouseCoopers LLP
2013,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,35883.6462,0,15.1536,196.044,0,0,0,,36095,36095,36095,SAI Global
2013,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,82705,0,452.76,668.36,0,0,0,,83827,83827,83827,Conestoga-Rovers & Associates Limited (CRA)
2013,1159,York University,York University - Keele Campus,Toronto,611310,48779,0,176.61,353.4,0,176.8,0,,49486,49486,49486,Conestoga-Rovers & Associates Limited (CRA)
2014,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,108770.034,0,41.622,574.74,0,0,0,,109387,109387,109387,Internat Energy Solutions Canada Inc.
2014,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,98035.577,0,37.254,516.77,0,0,0,,98590,98590,98590,Internat Energy Solutions Canada Inc.
2014,1083,Irving Consumer Products,Irving Tissue,Toronto,322121,59212.4,0,25.83,415.4,0,0,0,,59654,59654,59654,SAI Global
2014,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,366159,0,1991.85,2954.3,0,0,0,,371106,371106,371106,SAI Global
2014,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,63747.6,0,28.7893,503.8244,0,0,0,,64281,64281,64281,SAI Global
2014,1123,Sanofi Pasteur Ltd.,Connaught Campus,Toronto,325410,48442.906,0,265.3665,391.5455,0,0,0,,49100,49100,49100,PricewaterhouseCoopers LLP
2014,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,38606.8985,0,17.8731,217.62,0,0,0,,38843,38843,38843,SAI Global
2014,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,84844.2,0,127.89,520.8,0,0,0,0,85493,85493,85493,Conestoga-Rovers & Associates Limited (CRA)
2014,1159,York University,York University - Keele Campus,Toronto,611310,51636,0,172.158,368.59,0,0,0,,52177,52177,52177,Conestoga-Rovers & Associates Limited (CRA)
2015,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,102515.988,0,41.265,552.11,0,0,0,0,103110,103110,103110,Internat Energy Solutions Canada Inc.
2015,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,96858.009,0,38.9697,521.73,0,0,0,0,97419,97419,97419,Internat Energy Solutions Canada Inc.
2015,1083,Irving Consumer Products,Irving Tissue Corporation,Toronto,322121,57691.72,0,23.94,313.1,0,0,0,0,58029,58029,58029,SAI Global
2015,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,384836.9106,0,2095.9617,3107.781,0,0,0,0,390041,390041,390041,Stantec Consulting Ltd.
2015,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,62375.86,0,26.1377,361.3211,0,0,0,0,62764,62764,62764,SAI Global
2015,1123,Sanofi Pasteur Ltd.,Connaught Campus,Toronto,325410,49114.8,0,269.514,398.04,0,0,0,0,49783,49783,49783,PricewaterhouseCoopers LLP
2015,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,38345.8474,0,16.8966,212.598,0,0,0,0,38576,38576,38576,SAI Global
2015,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,85398.5457,0,456.7164,686.464,0,0,0,0,86542,86542,86542,GHD Limited (formerly CRA)
2015,1159,York University,York University - Keele Campus,Toronto,611310,52345,0,149.268,362.08,0,0,0,0,52857,52857,52857,GHD Limited (formerly CRA)
2015,1172,FCA Canada Inc.,Etobicoke Casting Plant,Toronto,331523,13931,0,5.754,75.95,0,0,0,0,14013,14013,14013,RWDI AIR Inc.
2015,1180,Sapa Canada Inc.,Toronto Division,Toronto,331317,25143,0,10.395,137.02,0,0,0,0,25291,25291,25291,GHD Limited (formerly CRA)
2015,1194,Apotex Inc.,Apotex Inc. Etobicoke site,Toronto,325410,13650.32,0,5.6608,75.175,0,0,0,0,13732,13732,13732,SAI Global
2015,1226,Sunnybrook Health Sciences Centre,Bayview Campus,Toronto,622111,20517.6,0,8.4903,118.451,0,0,0,0,20645,20645,20645,Enviro-Access Inc.
2015,1249,Molson Coors Canada,Toronto Brewery,Toronto,312120,15058.1,0,6.048,81.22,0,0,0,0,15146,15146,15146,SAI Global
2015,1261,Owens Corning Insulating Systems Canada LP,Toronto Plant,Toronto,327990,18251.65,0,7.4617,98.3385,0,0,0,0,18358,18358,18358,GHD Limited (formerly CRA)
2016,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,90749.517,0,37.464,493.52,0,0,0,0,91281,91281,91281,Internat Energy Solutions Canada Inc.
2016,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,89823.445,0,37.0944,488.56,0,0,0,0,90350,90350,90350,Internat Energy Solutions Canada Inc.
2016,1083,Irving Consumer Products Limited,Irving Tissue Corporation,Toronto,322121,62227.82,0,25.7502,338.9921,0,0,0,0,62593,62593,62593,SAI Global
2016,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,382592,0,2084.04,3087.6,0,0,0,0,387764,387764,387764,Stantec Consulting Ltd.
2016,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,65655.82,0,27.2001,359.4534,0,0,0,0,66043,66043,66043,SAI Global
2016,1123,Sanofi Pasteur Limited,Sanofi Pasteur Limited,Toronto,325410,50021.03,0,273.588,407.96,0,0,0,0,50703,50703,50703,PricewaterhouseCoopers LLP
2016,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,35273.3799,0,14.7735,192.417,0,0,0,0,35481,35481,35481,SAI Global
2016,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,80165.5,0,187.53,533.2,0,0,0,0,80887,80887,80887,GHD Limited (formerly CRA)
2016,1159,York University,Keele Campus,Toronto,611310,49100.901,0,118.4173,328.011,0,0,0,0,49548,49548,49548,GHD Limited (formerly CRA)
2016,1172,FCA Canada Inc.,Etobicoke Casting Plant,Toronto,331523,11892,0,4.914,64.48,0,0,0,0,11962,11962,11962,RWDI AIR Inc.
2016,1180,Sapa Canada Inc.,Toronto Division,Toronto,331317,17965,0,7.434,97.96,0,0,0,0,18071,18071,18071,GHD Limited (formerly CRA)
2016,1194,Apotex Inc.,Apotex Inc. Etobicoke site,Toronto,325410,12219.41,0,5.0678,67.2917,0,0,0,0,12292,12292,12292,SAI Global
2016,1249,Molson Coors Canada,Toronto Brewery,Toronto,312120,16493.45,0,6.825,89.9,0,0,0,0,16591,16591,16591,SAI Global
2016,1261,Owens Corning Insulating Systems Canada LP,Toronto Plant,Toronto,327990,15995.15,0,6.5387,86.2268,0,0,0,0,16088,16088,16088,GHD Limited (formerly CRA)
2016,1284,Hydro One Networks Inc.,Hydro One Networks,Toronto,221121,0,0,0,0,50085.079,0,0,0,50086,50086,0,
2016,1379,City of Toronto,Ashbridges Bay Treatment Plant,Toronto,221320,10688,40458,21,310,0,0,0,0,51477,11019,11019,
2016,1380,City of Toronto,Highland Creek Treatment Plant,Toronto,221320,13867,11117,105,620,0,0,0,0,25709,14592,14592,
2016,1383,"Nitta Gelatin Canada, Inc.",Nitta Gelatin,Toronto,311990,8044,0,3.36,44.02,0,0,0,0,8092,8092,8092,
2017,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,115211.408,0,47.46,626.2,0,0,0,0,115886,115886,115886,Internat Energy Solutions Canada
2017,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,79678.598,0,32.97,434,0,0,0,0,80146,80146,80146,Internat Energy Solutions Canada
2017,1083,Irving Consumer Products Limited,Irving Consumer Products Limited,Toronto,322121,62625.93,0,25.9119,340.938,0,0,0,0,62993,62993,62993,GHD Limited
2017,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,185795,0,1000.86,1494.2,0,0,0,0,188291,188291,188291,Stantec
2017,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,65375.16,0,27.207,365.7876,0,0,0,0,65769,65769,65769,GHD Limited
2017,1123,Sanofi Pasteur Limited,Sanofi Pasteur Limited,Toronto,325410,50158,0,262.416,404.86,0,0,0,0,50918,50918,50918,GHD Limited
2017,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,35764.797,0,14.9835,194.9807,0,0,0,0,35975,35975,35975,GHG Limited
2017,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,79330,0,184.38,527,0,0,0,0,80323,80323,80323,SAI GLOBAL
2017,1159,York University,Keele Campus,Toronto,611310,54788.783,0,171.15,384.09,0,101.4,0,0,55446,55446,55345,Internat Energy Solutions
2017,1172,FCA Canada Inc.,Etobicoke Casting Plant,Toronto,331523,9914.48,0,4.2,52.7,0,0,0,0,9972,9972,9972,RWDI Inc.
2017,1180,"Hydro Extrusion Canada, Inc.",North York Division,Toronto,331317,19442,0,8.043,105.71,0,0,0,0,19556,19556,19556,GHD Limited
2017,1194,Apotex Inc.,Apotex Inc. Etobicoke site,Toronto,325410,12438.56,0,5.1471,67.704,0,0,0,0,12512,12512,12512,SAI Global
2017,1226,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Toronto,622111,23898.9,0,9.8889,137.981,0,0,0,0,24047,24047,24047,Enviro-Acces
2017,1249,Molson Coors Canada,Toronto Brewery,Toronto,312120,13776.8,0,5.649,74.71,0,0,0,0,13858,13858,13858,SAI Global
2017,1261,Owens Corning Insulating Systems Canada LP,Toronto Plant,Toronto,327990,16117.75,0,6.5927,87.0046,0,0,0,0,16212,16212,16212,GHD Limited
2017,1284,Hydro One Networks Inc.,Hydro One Networks,Toronto,221121,0,0,0,0,54852.412,0,0,0,54853,54853,54853,GHD Limited
2017,1379,City of Toronto,Ashbridges Bay Treatment Plant,Toronto,221320,12751,39900,5.2752,69.409,0,0,0,0,52726,12826,12826,
2017,1380,City of Toronto,Highland Creek Treatment Plant,Toronto,221320,12214,11242,87.7947,229.338,0,0,0,0,23774,12532,12532,
2017,1400,Bombardier Inc.,Toronto Site,Toronto,336410,16032,0,5.04,34.1,0,0,0,0,16072,16072,16072,
2018,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,132831.041,0,54.3039,719.51,0,0,0,0,133605,133605,133605,Internat Energy Solutions Canada
2018,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,79065.479,0,32.298,428.42,0,0,0,0,79527,79527,79527,Internat Energy Solutions Canada
2018,1083,Irving Consumer Products Limited,Irving Consumer Products Limited,Toronto,322121,66480.38,0,27.51,362.7,0,0,0,0,66871,66871,66871,GHD Limited
2018,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,424040,0,2309.16,3425.5,0,0,0,0,429775,429775,429775,Stantec
2018,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,69677.03,0,28.9145,395.5464,0,0,0,0,70102,70102,70102,GHD Limited
2018,1123,Sanofi Pasteur Limited,Sanofi Pasteur Limited,Toronto,325410,46632,0,231.357,364.56,0,0,0,0,47317,47317,47317,GHD Limited
2018,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,37179.3641,0,15.7905,202.9105,0,0,0,0,37399,37399,37399,GHD
2018,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,76021,0,124.74,480.5,0,0,0,0,77791,77791,77791,
2018,1159,York University,Keele Campus,Toronto,611310,64116.972,0,243.159,469.03,0,0,0,0,64830,64830,64830,Internat Energy Solutions Canada
2018,1172,FCA Canada Inc.,Etobicoke Casting Plant,Toronto,331523,7838.9,0,3.15,43.4,0,0,0,0,7886,7886,7886,
2018,1180,"Hydro Extrusion Canada, Inc.",North York Division,Toronto,331317,18608,0,7.707,101.37,0,0,0,0,18718,18718,18718,
2018,1194,Apotex Inc.,Apotex Inc. Etobicoke site,Toronto,325410,12506.85,0,5.1744,68.076,0,0,0,0,12581,12581,12581,
2018,1226,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Toronto,622111,24686.5,0,10.2144,142.507,0,0,0,0,24840,24840,24840,
2018,1249,Molson Coors Canada,Toronto Brewery,Toronto,312120,15679.58,0,6.384,84.94,0,0,0,0,15771,15771,15771,GHD Limited
2018,1261,Owens Corning Insulating Systems Canada LP,Toronto Plant,Toronto,327990,16622.64,0,6.7935,89.6179,0,0,0,0,16720,16720,16720,
2018,1284,Hydro One Networks Inc.,Hydro One Networks,Toronto,221121,0,0,0,0,56117.2,0,0,0,56554,56554,56554,GHD Limited
2018,1379,City of Toronto,Ashbridges Bay Treatment Plant,Toronto,221320,12889,40043,5.3319,70.153,0,0,0,0,53008,12965,12965,
2018,1380,City of Toronto,Highland Creek Treatment Plant,Toronto,221320,20994,16405,129.4209,351.943,0,0,0,0,37881,21476,21476,
2018,1400,Bombardier Inc.,Toronto Site,Toronto,336410,16338.76,0,5.25,62,0,0,0,0,16407,16407,16407,
2010,1023,Cascades Canada Inc.,Norampac Trenton a Division of Cascades Canada Inc.,Trenton,322121,55354,12486,37,383,0,0,0,,68260,55774,,
2010,1127,Sonoco Flexible Packaging Canada Corp,Trent Valley Mill,Trenton,322130,40522,0,17,221,0,0,0,,40759,40759,,
2011,1023,Cascades Canada Inc.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322121,44244.31,12802.64,104.328,410.13,0,0,0,,57562,44759.36,44760,Enviro-Access Inc.
2011,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,38732.8,0,16.1702,213.9155,0,0,0,,38963,38963,38963,SAI Global
2012,1023,Cascades Canada ULC.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322130,38994.13,33524.3,241.416,655.65,0,0,0,,73416,39891,39891,Enviro-Access Inc.
